scenario_name,fault_injection_timestamp,detection_timestamp,recovery_timestamp,detection_delay,recovery_delay,poll_interval,notes,sync_mode,topology_name,topology_file,target_link,target_src_city,target_dst_city,target_distance_km,controller_app,background_traffic,background_flow_count,pre_fault_fidelity,post_fault_fidelity,post_recovery_fidelity,node_count,link_count,sync_duration_ms,api_call_count,pre_fault_total_packets,pre_fault_total_bytes,post_detection_total_packets,post_detection_total_bytes,post_recovery_total_packets,post_recovery_total_bytes,repeat_index,configured_repeat_count
link_flap_scenario,2026-04-05T10:55:00+00:00,2026-04-05T10:55:00.281434+00:00,,0.281434,,2.0,Run 2/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9765,0.8965,,8,10,29.74,18,4525,106019,2138,477412,,,2,3
link_flap_scenario,2026-04-05T11:00:00+00:00,2026-04-05T11:00:00.705632+00:00,,0.705632,,2.0,Run 3/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9884,0.8208,,8,10,48.25,18,2202,327942,2495,357881,,,3,3
link_flap_scenario,2026-04-05T11:05:00+00:00,2026-04-05T11:05:01.217694+00:00,,1.217694,,2.0,Run 1/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.986,0.8966,,8,10,50.0,18,4120,193665,5358,598479,,,1,3
link_flap_scenario,2026-04-05T11:10:00+00:00,2026-04-05T11:10:01.570115+00:00,,1.570115,,2.0,Run 2/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9921,0.8409,,8,10,47.5,18,1814,180131,4263,519775,,,2,3
link_flap_scenario,2026-04-05T11:15:00+00:00,2026-04-05T11:15:01.829255+00:00,,1.829255,,2.0,Run 3/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9961,0.8902,,8,10,48.53,18,3453,269951,5202,130211,,,3,3
link_flap_scenario,2026-04-05T11:20:00+00:00,2026-04-05T11:20:01.205660+00:00,,1.20566,,2.0,Run 1/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9993,0.8768,,8,10,45.62,18,1980,130369,3173,580329,,,1,3
link_flap_scenario,2026-04-05T11:25:00+00:00,2026-04-05T11:25:00.982085+00:00,,0.982085,,2.0,Run 2/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9866,0.8779,,8,10,40.15,18,4115,379291,2230,187314,,,2,3
link_flap_scenario,2026-04-05T11:30:00+00:00,2026-04-05T11:30:00.865047+00:00,,0.865047,,2.0,Run 3/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9583,0.8433,,8,10,35.49,18,3484,321846,2935,402746,,,3,3
multi_fault_scenario,2026-04-05T11:35:00+00:00,2026-04-05T11:35:00.066522+00:00,,0.066522,,2.0,Run 1/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9856,0.8279,,8,10,42.25,18,3751,440723,4259,349690,,,1,3
multi_fault_scenario,2026-04-05T11:40:00+00:00,2026-04-05T11:40:00.107651+00:00,,0.107651,,2.0,Run 2/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9624,0.7877,,8,10,46.43,18,1086,408443,5737,240646,,,2,3
multi_fault_scenario,2026-04-05T11:45:00+00:00,2026-04-05T11:45:00.178294+00:00,,0.178294,,2.0,Run 3/3 on geant_backbone_8cities_stage3 with none traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,none,0,0.9854,0.7871,,8,10,41.49,18,1276,116469,3906,157149,,,3,3
multi_fault_scenario,2026-04-05T11:50:00+00:00,2026-04-05T11:50:01.364156+00:00,,1.364156,,2.0,Run 1/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9743,0.8447,,8,10,37.98,18,3962,399391,5920,367815,,,1,3
multi_fault_scenario,2026-04-05T11:55:00+00:00,2026-04-05T11:55:01.362058+00:00,,1.362058,,2.0,Run 2/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9704,0.7913,,8,10,42.25,18,3699,325994,4102,342077,,,2,3
multi_fault_scenario,2026-04-05T12:00:00+00:00,2026-04-05T12:00:01.662680+00:00,,1.66268,,2.0,Run 3/3 on geant_backbone_8cities_stage3 with icmp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,icmp,3,0.9527,0.8584,,8,10,33.53,18,3646,151599,1696,331089,,,3,3
multi_fault_scenario,2026-04-05T12:05:00+00:00,2026-04-05T12:05:00.818164+00:00,,0.818164,,2.0,Run 1/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9555,0.803,,8,10,40.77,18,3196,335202,2348,341187,,,1,3
multi_fault_scenario,2026-04-05T12:10:00+00:00,2026-04-05T12:10:00.420943+00:00,,0.420943,,2.0,Run 2/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9937,0.789,,8,10,44.26,18,4309,388528,2002,146522,,,2,3
multi_fault_scenario,2026-04-05T12:15:00+00:00,2026-04-05T12:15:00.812603+00:00,,0.812603,,2.0,Run 3/3 on geant_backbone_8cities_stage3 with iperf_tcp traffic.,polling,geant_backbone_8cities_stage3,data/topologies/geant_backbone_8cities_stage3.json,Paris--London,Paris,London,340.0,src.controller.topology_aware_switch,iperf_tcp,6,0.9507,0.7912,,8,10,38.4,18,4086,223930,2562,333078,,,3,3
